#reverse_pos	count	cdf
950	90	0.835335
951	57	0.835605
952	76	0.835964
953	64	0.836266
954	80	0.836644
955	74	0.836994
956	57	0.837263
957	84	0.83766
958	96	0.838114
959	121	0.838686
960	111	0.83921
961	79	0.839584
962	44	0.839792
963	23	0.8399
964	7	0.839933
965	8	0.839971
966	12	0.840028
967	7	0.840061
968	11	0.840113
969	5	0.840136
970	12	0.840193
971	7	0.840226
972	8	0.840264
973	14	0.84033
974	14	0.840396
975	7	0.840429
976	7	0.840463
977	6	0.840491
978	6	0.840519
979	4	0.840538
980	8	0.840576
981	7	0.840609
982	10	0.840656
983	4	0.840675
984	16	0.840751
985	9	0.840793
986	16	0.840869
987	6	0.840897
988	13	0.840959
989	7	0.840992
990	11	0.841044
991	9	0.841086
992	6	0.841115
993	10	0.841162
994	8	0.8412
995	10	0.841247
996	13	0.841308
997	6	0.841337
998	10	0.841384
999	10	0.841431
1000	9	0.841474
1001	9	0.841516
1002	6	0.841545
1003	11	0.841597
1004	11	0.841649
1005	17	0.841729
1006	7	0.841762
1007	8	0.8418
1008	3	0.841814
1009	8	0.841852
1010	6	0.84188
1012	4	0.841899
1013	8	0.841937
1014	7	0.84197
1015	3	0.841984
1016	5	0.842008
1017	7	0.842041
1018	5	0.842064
1019	7	0.842098
1020	3	0.842112
1021	8	0.84215
1022	8	0.842187
1023	3	0.842202
1024	6	0.84223
1025	7	0.842263
1026	10	0.84231
1027	5	0.842334
1028	5	0.842357
1029	11	0.842409
1030	7	0.842443
1031	9	0.842485
1032	14	0.842551
1033	11	0.842603
1034	2	0.842613
1035	4	0.842632
1036	6	0.84266
1037	6	0.842688
1038	7	0.842721
1039	7	0.842754
1040	7	0.842787
1041	9	0.84283
1042	13	0.842891
1043	4	0.84291
1044	8	0.842948
1045	12	0.843005
1046	14	0.843071
1047	7	0.843104
1048	13	0.843166
1049	10	0.843213
1050	11	0.843265
1051	11	0.843317
1052	5	0.84334
1053	4	0.843359
1054	6	0.843388
1055	6	0.843416
1056	8	0.843454
1057	6	0.843482
1058	8	0.84352
1059	5	0.843544
1060	9	0.843586
1061	3	0.8436
1062	4	0.843619
1063	5	0.843643
1064	13	0.843704
1065	3	0.843718
1066	3	0.843733
1067	4	0.843751
1068	11	0.843803
1069	4	0.843822
1070	8	0.84386
1071	8	0.843898
1072	6	0.843926
1073	7	0.843959
1074	7	0.843992
1075	11	0.844044
1076	9	0.844087
1077	9	0.84413
1078	6	0.844158
1079	7	0.844191
1080	3	0.844205
1081	6	0.844233
1082	2	0.844243
1083	5	0.844267
1084	9	0.844309
1085	8	0.844347
1086	7	0.84438
1087	14	0.844446
1088	7	0.844479
1089	10	0.844526
1090	8	0.844564
1091	6	0.844593
1092	7	0.844626
1093	11	0.844678
1094	9	0.84472
1095	4	0.844739
1096	4	0.844758
1097	10	0.844805
1098	2	0.844815
1099	10	0.844862
1100	8	0.8449
1101	5	0.844923
1102	8	0.844961
1103	10	0.845008
1104	3	0.845023
1105	7	0.845056
1106	8	0.845094
1107	4	0.845112
1108	8	0.84515
1109	3	0.845164
1110	9	0.845207
1111	9	0.845249
1112	7	0.845283
1113	14	0.845349
1114	7	0.845382
1115	9	0.845424
1116	9	0.845467
1117	10	0.845514
1118	8	0.845552
1119	11	0.845604
1120	7	0.845637
1121	8	0.845675
1122	7	0.845708
1123	8	0.845746
1124	10	0.845793
1125	4	0.845812
1126	4	0.845831
1127	12	0.845887
1128	8	0.845925
1129	7	0.845958
1130	5	0.845982
1131	5	0.846006
1132	2	0.846015
1133	5	0.846039
1134	6	0.846067
1135	5	0.846091
1136	6	0.846119
1137	2	0.846128
1138	7	0.846161
1139	11	0.846213
1140	11	0.846265
1141	5	0.846289
1142	10	0.846336
1143	3	0.84635
1144	6	0.846379
1145	8	0.846417
1146	5	0.84644
1147	4	0.846459
1148	5	0.846483
1149	13	0.846544
1150	8	0.846582
1151	10	0.846629
1152	5	0.846653
1153	5	0.846677
1154	4	0.846695
1155	9	0.846738
1156	7	0.846771
1157	8	0.846809
1158	2	0.846818
1159	4	0.846837
1160	10	0.846884
1161	2	0.846894
1162	9	0.846936
1163	6	0.846965
1164	9	0.847007
1165	2	0.847017
1166	8	0.847055
1167	7	0.847088
1168	8	0.847125
1169	6	0.847154
1170	5	0.847177
1171	6	0.847206
1172	6	0.847234
1173	6	0.847263
1174	6	0.847291
1175	7	0.847324
1176	9	0.847366
1177	4	0.847385
1178	5	0.847409
1179	4	0.847428
1180	8	0.847466
1181	8	0.847504
1182	4	0.847522
1183	6	0.847551
1184	9	0.847593
1185	5	0.847617
1186	10	0.847664
1187	5	0.847688
1188	2	0.847697
1189	5	0.847721
1190	4	0.84774
1191	8	0.847778
1192	7	0.847811
1193	6	0.847839
1194	11	0.847891
1195	8	0.847929
1196	14	0.847995
1197	8	0.848033
1198	13	0.848094
1199	5	0.848118
1200	12	0.848175
1201	7	0.848208
1202	10	0.848255
1203	8	0.848293
1204	2	0.848302
1205	8	0.84834
1206	5	0.848364
1207	9	0.848406
1208	15	0.848477
1209	8	0.848515
1210	5	0.848538
1211	2	0.848548
1212	6	0.848576
1213	11	0.848628
1214	7	0.848661
1215	3	0.848675
1216	5	0.848699
1217	3	0.848713
1218	3	0.848727
1219	3	0.848742
1220	7	0.848775
1221	5	0.848798
1222	1	0.848803
1223	3	0.848817
1224	5	0.848841
1225	9	0.848883
1226	8	0.848921
1227	8	0.848959
1228	9	0.849002
1229	49	0.849233
1230	24	0.849346
1231	11	0.849398
1232	22	0.849502
1233	13	0.849564
1234	16	0.849639
1235	15	0.84971
1236	13	0.849772
1237	9	0.849814
1238	8	0.849852
1239	2	0.849862
1240	7	0.849895
1241	7	0.849928
1242	7	0.849961
1243	3	0.849975
1244	7	0.850008
1245	11	0.85006
1246	1	0.850065
1247	7	0.850098
1248	11	0.85015
1249	3	0.850164
1250	9	0.850207
1251	10	0.850254
1252	5	0.850277
1253	6	0.850306
1254	6	0.850334
1255	3	0.850348
1256	4	0.850367
1257	11	0.850419
1258	3	0.850433
1259	4	0.850452
1260	2	0.850462
1261	5	0.850485
1262	4	0.850504
1263	5	0.850528
1264	5	0.850551
1265	7	0.850585
1266	5	0.850608
1267	5	0.850632
1268	6	0.85066
1269	8	0.850698
1270	5	0.850722
1271	4	0.85074
1272	10	0.850788
1273	4	0.850807
1274	5	0.85083
1275	3	0.850844
1276	5	0.850868
1277	3	0.850882
1278	4	0.850901
1279	5	0.850925
1280	3	0.850939
1281	4	0.850958
1282	2	0.850967
1283	2	0.850977
1284	5	0.851
1285	4	0.851019
1286	5	0.851043
1287	6	0.851071
1288	3	0.851085
1289	5	0.851109
1290	3	0.851123
1291	2	0.851133
1292	6	0.851161
1293	8	0.851199
1294	6	0.851227
1295	1	0.851232
1296	6	0.85126
1297	5	0.851284
1298	3	0.851298
1299	30	0.85144
1300	34	0.851601
1301	41	0.851794
1302	100	0.852267
1303	215	0.853283
1304	338	0.85488
1305	148	0.855579
1306	227	0.856652
1307	216	0.857673
1308	168	0.858467
1309	234	0.859572
1310	36	0.859743
1311	16	0.859818
1312	18	0.859903
1313	17	0.859984
1314	10	0.860031
1315	8	0.860069
1316	3	0.860083
1317	5	0.860106
1318	2	0.860116
1319	9	0.860158
1320	8	0.860196
1321	2	0.860206
1322	3	0.86022
1323	4	0.860239
1324	4	0.860258
1325	7	0.860291
1326	7	0.860324
1327	3	0.860338
1328	7	0.860371
1329	4	0.86039
1330	3	0.860404
1331	2	0.860414
1332	6	0.860442
1333	3	0.860456
1334	7	0.860489
