#distance	count	cdf
1455	5	0.779849
1456	15	0.779936
1457	7	0.779977
1458	4	0.78
1459	6	0.780035
1460	11	0.780099
1461	6	0.780133
1462	6	0.780168
1463	9	0.78022
1464	4	0.780244
1465	7	0.780284
1466	7	0.780325
1467	4	0.780348
1468	11	0.780412
1469	10	0.78047
1470	5	0.780499
1471	8	0.780545
1472	6	0.78058
1473	11	0.780644
1474	13	0.780719
1475	8	0.780766
1476	9	0.780818
1477	7	0.780859
1478	6	0.780893
1479	9	0.780946
1480	6	0.78098
1481	6	0.781015
1482	7	0.781056
1483	10	0.781114
1484	13	0.781189
1485	5	0.781218
1486	6	0.781253
1487	5	0.781282
1488	9	0.781334
1489	10	0.781392
1490	3	0.78141
1491	2	0.781421
1492	3	0.781439
1493	5	0.781468
